Category: All categories

Month,Coffee: (United States)
2004-01,36
2004-02,31
2004-03,30
2004-04,30
2004-05,30
2004-06,30
2004-07,31
2004-08,31
2004-09,31
2004-10,34
2004-11,38
2004-12,45
2005-01,35
2005-02,33
2005-03,31
2005-04,30
2005-05,30
2005-06,31
2005-07,35
2005-08,33
2005-09,32
2005-10,34
2005-11,39
2005-12,43
2006-01,37
2006-02,34
2006-03,34
2006-04,30
2006-05,32
2006-06,30
2006-07,30
2006-08,31
2006-09,32
2006-10,36
2006-11,37
2006-12,41
2007-01,37
2007-02,34
2007-03,32
2007-04,31
2007-05,30
2007-06,31
2007-07,31
2007-08,33
2007-09,33
2007-10,33
2007-11,38
2007-12,41
2008-01,34
2008-02,33
2008-03,33
2008-04,32
2008-05,31
2008-06,31
2008-07,30
2008-08,29
2008-09,29
2008-10,31
2008-11,36
2008-12,39
2009-01,33
2009-02,35
2009-03,33
2009-04,33
2009-05,31
2009-06,33
2009-07,32
2009-08,32
2009-09,33
2009-10,35
2009-11,38
2009-12,41
2010-01,37
2010-02,35
2010-03,35
2010-04,33
2010-05,34
2010-06,32
2010-07,31
2010-08,31
2010-09,33
2010-10,34
2010-11,43
2010-12,42
2011-01,40
2011-02,40
2011-03,37
2011-04,34
2011-05,36
2011-06,42
2011-07,47
2011-08,46
2011-09,45
2011-10,47
2011-11,55
2011-12,57
2012-01,52
2012-02,51
2012-03,49
2012-04,46
2012-05,47
2012-06,50
2012-07,49
2012-08,49
2012-09,52
2012-10,52
2012-11,55
2012-12,59
2013-01,52
2013-02,49
2013-03,49
2013-04,47
2013-05,46
2013-06,48
2013-07,45
2013-08,42
2013-09,42
2013-10,41
2013-11,47
2013-12,50
2014-01,45
2014-02,44
2014-03,45
2014-04,43
2014-05,42
2014-06,42
2014-07,43
2014-08,42
2014-09,45
2014-10,40
2014-11,48
2014-12,53
2015-01,46
2015-02,44
2015-03,45
2015-04,43
2015-05,44
2015-06,44
2015-07,46
2015-08,48
2015-09,53
2015-10,49
2015-11,55
2015-12,60
2016-01,52
2016-02,53
2016-03,51
2016-04,54
2016-05,51
2016-06,50
2016-07,51
2016-08,49
2016-09,58
2016-10,53
2016-11,61
2016-12,70
2017-01,58
2017-02,63
2017-03,64
2017-04,63
2017-05,63
2017-06,64
2017-07,68
2017-08,65
2017-09,68
2017-10,69
2017-11,69
2017-12,79
2018-01,75
2018-02,65
2018-03,54
2018-04,54
2018-05,49
2018-06,52
2018-07,55
2018-08,56
2018-09,54
2018-10,51
2018-11,57
2018-12,63
2019-01,58
2019-02,56
2019-03,54
2019-04,49
2019-05,54
2019-06,59
2019-07,57
2019-08,58
2019-09,60
2019-10,56
2019-11,59
2019-12,63
2020-01,64
2020-02,57
2020-03,53
2020-04,66
2020-05,59
2020-06,57
2020-07,56
2020-08,57
2020-09,61
2020-10,63
2020-11,64
2020-12,78
2021-01,71
2021-02,68
2021-03,65
2021-04,66
2021-05,68
2021-06,68
2021-07,76
2021-08,73
2021-09,75
2021-10,74
2021-11,83
2021-12,81
2022-01,76
2022-02,75
2022-03,73
2022-04,71
2022-05,70
2022-06,71
2022-07,80
2022-08,76
2022-09,75
2022-10,77
2022-11,79
2022-12,87
2023-01,84
2023-02,82
2023-03,86
2023-04,82
2023-05,86
2023-06,87
2023-07,88
2023-08,83
2023-09,88
2023-10,86
2023-11,94
2023-12,100
2024-01,91
2024-02,91
2024-03,89
2024-04,83
2024-05,89
