Category: All categories

Month,Coffeemaker: (United States)
2004-01,42
2004-02,31
2004-03,33
2004-04,30
2004-05,35
2004-06,32
2004-07,37
2004-08,38
2004-09,37
2004-10,41
2004-11,57
2004-12,75
2005-01,48
2005-02,38
2005-03,34
2005-04,33
2005-05,33
2005-06,35
2005-07,31
2005-08,36
2005-09,34
2005-10,40
2005-11,52
2005-12,66
2006-01,43
2006-02,35
2006-03,34
2006-04,29
2006-05,29
2006-06,30
2006-07,34
2006-08,35
2006-09,35
2006-10,42
2006-11,51
2006-12,60
2007-01,42
2007-02,39
2007-03,36
2007-04,34
2007-05,31
2007-06,30
2007-07,31
2007-08,33
2007-09,30
2007-10,36
2007-11,49
2007-12,63
2008-01,38
2008-02,31
2008-03,32
2008-04,30
2008-05,32
2008-06,28
2008-07,28
2008-08,31
2008-09,29
2008-10,31
2008-11,48
2008-12,66
2009-01,40
2009-02,35
2009-03,31
2009-04,30
2009-05,31
2009-06,30
2009-07,30
2009-08,34
2009-09,32
2009-10,35
2009-11,55
2009-12,68
2010-01,44
2010-02,36
2010-03,32
2010-04,28
2010-05,31
2010-06,28
2010-07,24
2010-08,28
2010-09,28
2010-10,31
2010-11,52
2010-12,70
2011-01,48
2011-02,38
2011-03,36
2011-04,33
2011-05,34
2011-06,33
2011-07,33
2011-08,35
2011-09,36
2011-10,40
2011-11,63
2011-12,77
2012-01,47
2012-02,38
2012-03,36
2012-04,32
2012-05,32
2012-06,33
2012-07,33
2012-08,35
2012-09,36
2012-10,43
2012-11,63
2012-12,68
2013-01,40
2013-02,36
2013-03,36
2013-04,34
2013-05,33
2013-06,33
2013-07,34
2013-08,36
2013-09,35
2013-10,40
2013-11,60
2013-12,67
2014-01,41
2014-02,33
2014-03,34
2014-04,32
2014-05,32
2014-06,31
2014-07,31
2014-08,35
2014-09,34
2014-10,35
2014-11,52
2014-12,64
2015-01,42
2015-02,34
2015-03,33
2015-04,32
2015-05,31
2015-06,33
2015-07,34
2015-08,35
2015-09,36
2015-10,37
2015-11,57
2015-12,60
2016-01,46
2016-02,39
2016-03,36
2016-04,38
2016-05,38
2016-06,36
2016-07,37
2016-08,39
2016-09,40
2016-10,44
2016-11,54
2016-12,66
2017-01,48
2017-02,43
2017-03,46
2017-04,39
2017-05,38
2017-06,41
2017-07,44
2017-08,43
2017-09,47
2017-10,53
2017-11,64
2017-12,78
2018-01,55
2018-02,47
2018-03,46
2018-04,45
2018-05,40
2018-06,44
2018-07,47
2018-08,47
2018-09,46
2018-10,48
2018-11,70
2018-12,74
2019-01,54
2019-02,48
2019-03,47
2019-04,44
2019-05,45
2019-06,47
2019-07,47
2019-08,50
2019-09,48
2019-10,52
2019-11,70
2019-12,79
2020-01,58
2020-02,54
2020-03,46
2020-04,56
2020-05,55
2020-06,53
2020-07,52
2020-08,56
2020-09,57
2020-10,69
2020-11,86
2020-12,100
2021-01,73
2021-02,61
2021-03,60
2021-04,56
2021-05,54
2021-06,58
2021-07,58
2021-08,61
2021-09,61
2021-10,65
2021-11,88
2021-12,91
2022-01,78
2022-02,67
2022-03,63
2022-04,58
2022-05,55
2022-06,58
2022-07,63
2022-08,63
2022-09,62
2022-10,71
2022-11,91
2022-12,99
2023-01,72
2023-02,67
2023-03,67
2023-04,65
2023-05,61
2023-06,67
2023-07,66
2023-08,64
2023-09,62
2023-10,68
2023-11,96
2023-12,98
2024-01,79
2024-02,67
2024-03,64
2024-04,63
2024-05,63
